Ceremony Year	Film	Award	Director	Director Birth Year
1989	The Milagro Beanfield War	Academy Award for Best Original Score	Robert Redford	1936
1989	Tin Toy	Academy Award for Best Animated Short Film	John Lasseter	1957
1989	Ve Neill	Academy Award for Best Makeup and Hairstyling		
1989	Vern Poore	Academy Award for Best Sound		
1989	Who Framed Roger Rabbit	Academy Award for Best Film Editing	Robert Zemeckis	1952
1989	Who Framed Roger Rabbit	Academy Award for Best Sound Editing	Robert Zemeckis	1952
1989	Who Framed Roger Rabbit	Academy Award for Best Visual Effects	Robert Zemeckis	1952
1989	William Reeves	Academy Award for Best Animated Short Film		
1989	Willie D. Burton	Academy Award for Best Sound		
1989	You Don't Have to Die	Academy Award for Best Documentary (Short Subject)	Bill Guttentag	1958
1990	Akira Kurosawa	Academy Honorary Award		
1990	Alan Menken	Academy Award for Best Original Score		
1990	Alan Menken	Academy Award for Best Original Song		
1990	Alan and Marilyn Bergman	Academy Award for Best Original Song		
1990	Alfred Uhry	Academy Award for Best Writing, Adapted Screenplay		
1990	Anton Furst	Academy Award for Best Production Design		
1990	Balance	Academy Award for Best Animated Short Film	Christoph Lauenstein	1962
1990	Balance	Academy Award for Best Animated Short Film	Wolfgang Lauenstein	1962
1990	Batman	Academy Award for Best Production Design	Tim Burton	1958
1990	Ben Burtt	Academy Award for Best Sound Editing		
1990	Born on the Fourth of July	Academy Award for Best Director	Oliver Stone	1946
1990	Born on the Fourth of July	Academy Award for Best Film Editing	Oliver Stone	1946
1990	Brenda Fricker	Academy Award for Best Supporting Actress		
1990	Charles Guggenheim	Academy Award for Best Documentary (Short Subject)		
1990	Christoph Lauenstein	Academy Award for Best Animated Short Film		
1990	Cinema Paradiso	Academy Award for Best International Feature Film	Giuseppe Tornatore	1956
1990	Common Threads: Stories from the Quilt	Academy Award for Best Documentary Feature Film	Jeffrey Friedman	1951
1990	Common Threads: Stories from the Quilt	Academy Award for Best Documentary Feature Film	Rob Epstein	1955
1990	Daniel Day-Lewis	Academy Award for Best Actor		
1990	David Brenner	Academy Award for Best Film Editing		
1990	Dead Poets Society	Academy Award for Best Writing, Original Screenplay	Peter Weir	1944
1990	Dennis Muren	Academy Award for Best Visual Effects		
1990	Dennis Skotak	Academy Award for Best Visual Effects		
1990	Donald O. Mitchell	Academy Award for Best Sound		
1990	Driving Miss Daisy	Academy Award for Best Actress	Bruce Beresford	1940
1990	Driving Miss Daisy	Academy Award for Best Makeup and Hairstyling	Bruce Beresford	1940
1990	Driving Miss Daisy	Academy Award for Best Picture	Bruce Beresford	1940
1990	Driving Miss Daisy	Academy Award for Best Writing, Adapted Screenplay	Bruce Beresford	1940
1990	Elliot Tyson	Academy Award for Best Sound		
1990	Freddie Francis	Academy Award for Best Cinematography		
1990	Glory	Academy Award for Best Cinematography	Edward Zwick	1952
1990	Glory	Academy Award for Best Sound	Edward Zwick	1952
1990	Glory	Academy Award for Best Supporting Actor	Edward Zwick	1952
1990	Gregg Rudloff	Academy Award for Best Sound		
1990	Henry V	Academy Award for Best Costume Design	Kenneth Branagh	1960
1990	Howard Ashman	Academy Award for Best Original Song		
1990	Howard W. Koch	Jean Hersholt Humanitarian Award		
1990	Hoyt Yeatman	Academy Award for Best Visual Effects		
1990	Indiana Jones and the Last Crusade	Academy Award for Best Sound Editing	Steven Spielberg	1946
1990	James Hendrie	Academy Award for Best Live Action Short Film		
1990	James Ketcham	Scientific and Engineering Award		
1990	Jessica Tandy	Academy Award for Best Actress		
1990	Joe Hutshing	Academy Award for Best Film Editing		
1990	John Bruno	Academy Award for Best Visual Effects		
1990	Kevin Haney	Academy Award for Best Makeup and Hairstyling		
1990	Leo Catozzo	Academy Award for Technical Achievement		
1990	Lili Fini Zanuck	Academy Award for Best Picture		
1990	Lynn Barber	Academy Award for Best Makeup and Hairstyling		
1990	Manlio Rocchetti	Academy Award for Best Makeup and Hairstyling		
1990	My Left Foot	Academy Award for Best Actor	Jim Sheridan	1949
1990	My Left Foot	Academy Award for Best Supporting Actress	Jim Sheridan	1949
1990	Myrna Loy	Academy Honorary Award		
1990	Oliver Stone	Academy Award for Best Director		
1990	Panavision	Academy Award for Technical Achievement		
1990	Peter Young	Academy Award for Best Production Design		
1990	Phyllis Dalton	Academy Award for Best Costume Design		
1990	Pierre Angénieux	Gordon E. Sawyer Award		
1990	Q42101	Academy Award for Best Supporting Actor		
1990	Richard D. Zanuck	Academy Award for Best Picture		
1990	Richard Hymns	Academy Award for Best Sound Editing		
1990	Rob Epstein	Academy Award for Best Documentary Feature Film		
1990	Russell Williams	Academy Award for Best Sound		
1990	The Abyss	Academy Award for Best Visual Effects	James Cameron	1954
1990	The Girl Who Used to Be Me	Academy Award for Best Original Song		
1990	The Johnstown Flood	Academy Award for Best Documentary (Short Subject)	Charles Guggenheim	1924
1990	The Little Mermaid	Academy Award for Best Original Score	John Musker	1953
1990	The Little Mermaid	Academy Award for Best Original Score	Ron Clements	1953
1990	The Little Mermaid	Academy Award for Best Original Song	John Musker	1953
1990	The Little Mermaid	Academy Award for Best Original Song	Ron Clements	1953
1990	Tom Schulman	Academy Award for Best Writing, Original Screenplay		
1990	Under the Sea	Academy Award for Best Original Song		
1990	Wolfgang Lauenstein	Academy Award for Best Animated Short Film		
1990	Work Experience	Academy Award for Best Live Action Short Film	James Hendrie	2000
1991	Adam Davidson	Academy Award for Best Live Action Short Film		
1991	Alex Funke	Special Achievement Academy Award		
1991	American Dream	Academy Award for Best Documentary Feature Film	Barbara Kopple	1946
1991	Arthur Cohn	Academy Award for Best Documentary Feature Film		
1991	Barbara Kopple	Academy Award for Best Documentary Feature Film		
1991	Bill W. Benton	Academy Award for Best Sound		
1991	Bruce Joel Rubin	Academy Award for Best Writing, Original Screenplay		
1991	Cecelia Hall	Academy Award for Best Sound Editing		
1991	Charles J. Watson	Academy Scientific and Technical Award		
1991	Christopher Gilman	Academy Award for Technical Achievement		
1991	Creature Comforts	Academy Award for Best Animated Short Film	Nick Park	1958
1991	Cyrano de Bergerac	Academy Award for Best Costume Design	Jean-Paul Rappeneau	1932
1991	Dances with Wolves	Academy Award for Best Cinematography	Kevin Costner	1955
1991	Dances with Wolves	Academy Award for Best Director	Kevin Costner	1955
1991	Dances with Wolves	Academy Award for Best Film Editing	Kevin Costner	1955
1991	Dances with Wolves	Academy Award for Best Original Score	Kevin Costner	1955
1991	Dances with Wolves	Academy Award for Best Picture	Kevin Costner	1955
1991	Dances with Wolves	Academy Award for Best Sound	Kevin Costner	1955
1991	Dances with Wolves	Academy Award for Best Writing, Adapted Screenplay	Kevin Costner	1955
1991	Days of Waiting: The Life & Art of Estelle Ishigo	Academy Award for Best Documentary (Short Subject)	Steven Okazaki	1952
1991	Dean Semler	Academy Award for Best Cinematography		
1991	Dedo Weigert	Academy Award for Technical Achievement		
1991	Dick Tracy	Academy Award for Best Makeup and Hairstyling	Warren Beatty	1937
1991	Dick Tracy	Academy Award for Best Production Design	Warren Beatty	1937
1991	Doug Drexler	Academy Award for Best Makeup and Hairstyling		
1991	Eric Brevig	Special Achievement Academy Award		
1991	Federico Fellini	Academy Honorary Award		
1991	Franca Squarciapino	Academy Award for Best Costume Design		
1991	George Watters II	Academy Award for Best Sound Editing		
1991	Ghost	Academy Award for Best Supporting Actress	Jerry Zucker	1950
1991	Ghost	Academy Award for Best Writing, Original Screenplay	Jerry Zucker	1950
1991	Goodfellas	Academy Award for Best Supporting Actor	Martin Scorsese	1942
1991	Gregory H. Watkins	Academy Award for Best Sound		
1991	Jeffrey Perkins	Academy Award for Best Sound		
1991	Jeremy Irons	Academy Award for Best Actor		
1991	Jim Wilson	Academy Award for Best Picture		
1991	Joe Pesci	Academy Award for Best Supporting Actor		
1991	John Barry	Academy Award for Best Original Score		
1991	John Caglione, Jr.	Academy Award for Best Makeup and Hairstyling		
1991	Journey of Hope	Academy Award for Best International Feature Film	Xavier Koller	1944
1991	Kathy Bates	Academy Award for Best Actress		
1991	Kevin Costner	Academy Award for Best Director		
1991	Kevin Costner	Academy Award for Best Picture		
1991	Michael Blake	Academy Award for Best Writing, Adapted Screenplay		
1991	Misery	Academy Award for Best Actress	Rob Reiner	1947
1991	NIKFI	Academy Award for Technical Achievement		
1991	Neil Travis	Academy Award for Best Film Editing		
1991	Nick Park	Academy Award for Best Animated Short Film		
1991	Panavision	Academy Scientific and Technical Award		
1991	Panavision Primo Zoom	Scientific and Engineering Award		
1991	Pete Romano	Academy Award for Technical Achievement		
1991	Q1047410	Academy Scientific and Technical Award		
1991	Reversal of Fortune	Academy Award for Best Actor	Barbet Schroeder	1941
1991	Richard Mula	Academy Award for Technical Achievement		
1991	Richard Sylbert	Academy Award for Best Production Design		
1991	Rick Simpson	Academy Award for Best Production Design		
1991	Rob Bottin	Special Achievement Academy Award		
1991	Roderick T. Ryan	John A. Bonner Medal of Commendation		
1991	Russell Williams	Academy Award for Best Sound		
1991	Sooner or Later (I Always Get My Man)	Academy Award for Best Original Song		
1991	Sophia Loren	Academy Honorary Award		
1991	Stephen Sondheim	Academy Award for Best Original Song		
1991	Steven Okazaki	Academy Award for Best Documentary (Short Subject)		
1991	The Hunt for Red October	Academy Award for Best Sound Editing	John McTiernan	1951
1991	The Lunch Date	Academy Award for Best Live Action Short Film	Adam Davidson	1964
1991	Thomas F. Denove	Academy Award for Technical Achievement		
1991	Tim McGovern	Special Achievement Academy Award		
1991	Whoopi Goldberg	Academy Award for Best Supporting Actress		
1992	Al Pacino	Academy Awards		
1992	Alan Menken	Academy Award for Best Original Score		
1992	Alan Menken	Academy Award for Best Original Song		
1992	Albert Wolsky	Academy Award for Best Costume Design		
1992	Allie Light	Academy Award for Best Documentary Feature Film		
1992	Anthony Hopkins	Academy Award for Best Actor		
1992	Anthony Hopkins	Academy Awards		
1992	Arri	Academy Scientific and Technical Award		
1992	Beauty and the Beast	Academy Award for Best Original Score	Kirk Wise	1963
1992	Beauty and the Beast	Academy Award for Best Original Score	Gary Trousdale	1960
1992	Beauty and the Beast	Academy Award for Best Original Song	Kirk Wise	1963
1992	Beauty and the Beast	Academy Award for Best Original Song	Gary Trousdale	1960
1992	Beauty and the Beast	Academy Award for Best Original Song		
1992	Brian Henson	Scientific and Engineering Award		
1992	Bugsy	Academy Award for Best Costume Design	Barry Levinson	1942
1992	Bugsy	Academy Award for Best Production Design	Barry Levinson	1942
1992	Callie Khouri	Academy Award for Best Writing, Original Screenplay		
1992	Chadwell O'Connor	Academy Award of Merit		
1992	City Slickers	Academy Award for Best Supporting Actor	Ron Underwood	1953
1992	Daniel Greaves	Academy Award for Best Animated Short Film		
1992	Dave Housman	Scientific and Engineering Award		
1992	David Coons	Scientific and Engineering Award		
1992	David F. Wolf	Scientific and Engineering Award		
1992	Deadly Deception: General Electric, Nuclear Weapons and Our Environment	Academy Award for Best Documentary (Short Subject)	Debra Chasnoff	1957
1992	Debra Chasnoff	Academy Award for Best Documentary (Short Subject)		
1992	Dennis Gassner	Academy Award for Best Production Design		
1992	Dennis Muren	Academy Award for Best Visual Effects		
1992	Dylan Kohler	Scientific and Engineering Award		
1992	Edward Saxon	Academy Award for Best Picture		
1992	Faz Fazakas	Scientific and Engineering Award		
1992	Gabriele Salvatores	Academy Awards		
1992	Gary Rydstrom	Academy Award for Best Sound		
1992	Gary Rydstrom	Academy Award for Best Sound Editing		
1992	Gary Summers	Academy Award for Best Sound		
1992	Gene Warren Jr.	Academy Award for Best Visual Effects		
1992	Gloria Borders	Academy Award for Best Sound Editing		
1992	Howard Ashman	Academy Award for Best Original Song		
1992	In the Shadow of the Stars	Academy Award for Best Documentary Feature Film	Irving Saraf	1932
1992	In the Shadow of the Stars	Academy Award for Best Documentary Feature Film	Allie Light	1935
1992	Irving Saraf	Academy Award for Best Documentary Feature Film		
1992	JFK	Academy Award for Best Cinematography	Oliver Stone	1946
1992	JFK	Academy Award for Best Film Editing	Oliver Stone	1946
1992	Jack Palance	Academy Award for Best Supporting Actor		
1992	Jeff Dawn	Academy Award for Best Makeup and Hairstyling		
1992	Jodie Foster	Academy Award for Best Actress		
1992	Joe Hutshing	Academy Award for Best Film Editing		
1992	John Stephenson	Scientific and Engineering Award		
1992	Jonathan Demme	Academy Award for Best Director		
1992	Kenneth Utt	Academy Award for Best Picture		
1992	Lee Orloff	Academy Award for Best Sound		
1992	Lemuel Davis	Scientific and Engineering Award		
1992	Manipulation	Academy Award for Best Animated Short Film	Daniel Greaves	1959
1992	Mark Kimball	Scientific and Engineering Award		
1992	Mediterraneo	Academy Award for Best International Feature Film	Gabriele Salvatores	1950
1992	Mercedes Ruehl	Academy Award for Best Supporting Actress		
1992	Michael Shantzis	Scientific and Engineering Award		
1992	Nancy Haigh	Academy Award for Best Production Design		
1992	Pete Comandini	Academy Award of Commendation		
1992	Peter Nye	Scientific and Engineering Award		
1992	Pietro Scalia	Academy Award for Best Film Editing		
1992	Randy Cartwright	Scientific and Engineering Award		
1992	Ray Harryhausen	Gordon E. Sawyer Award		
1992	Richard Dayton	Academy Award of Commendation		
1992	Robert N. Fried	Academy Award for Best Live Action Short Film		
1992	Robert Richardson	Academy Award for Best Cinematography		
1992	Robert Skotak	Academy Award for Best Visual Effects		
1992	Ron Bozman	Academy Award for Best Picture		
1992	Satyajit Ray	Academy Honorary Award		
1992	Session Man	Academy Award for Best Live Action Short Film	Seth Winston	1950
1992	Seth Winston	Academy Award for Best Live Action Short Film		
1992	Stan Winston	Academy Award for Best Makeup and Hairstyling		
1992	Stan Winston	Academy Award for Best Visual Effects		
1992	Ted Tally	Academy Award for Best Writing, Adapted Screenplay		
1992	Terminator 2: Judgment Day	Academy Award for Best Makeup and Hairstyling	James Cameron	1954
1992	Terminator 2: Judgment Day	Academy Award for Best Sound	James Cameron	1954
1992	Terminator 2: Judgment Day	Academy Award for Best Sound Editing	James Cameron	1954
1992	Terminator 2: Judgment Day	Academy Award for Best Visual Effects	James Cameron	1954
1992	The Fisher King	Academy Award for Best Supporting Actress	Terry Gilliam	1940
1992	The Silence of the Lambs	Academy Award for Best Actor	Jonathan Demme	1944
1992	The Silence of the Lambs	Academy Award for Best Actress	Jonathan Demme	1944
1992	The Silence of the Lambs	Academy Award for Best Director	Jonathan Demme	1944
1992	The Silence of the Lambs	Academy Award for Best Picture	Jonathan Demme	1944
1992	The Silence of the Lambs	Academy Award for Best Writing, Adapted Screenplay	Jonathan Demme	1944
1992	Thelma & Louise	Academy Award for Best Writing, Original Screenplay	Ridley Scott	1937
1992	Thomas Hahn	Scientific and Engineering Award		
1992	Tom Johnson	Academy Award for Best Sound		
1993	A River Runs Through It	Academy Award for Best Cinematography	Robert Redford	1936
1993	A Whole New World	Academy Award for Best Original Song		
1993	Al Pacino	Academy Award for Best Actor		
1993	Aladdin	Academy Award for Best Original Score	John Musker	1953
1993	Aladdin	Academy Award for Best Original Score	Ron Clements	1953
1993	Alan Menken	Academy Award for Best Original Score		
1993	Alan Menken	Academy Award for Best Original Song		
1993	Anthony Apodaca	Scientific and Engineering Award		
1993	Audrey Hepburn	Jean Hersholt Humanitarian Award		
1993	Barbara Trent	Academy Award for Best Documentary Feature Film		
1993	Bram Stoker's Dracula	Academy Award for Best Costume Design	Francis Ford Coppola	1939
1993	Bram Stoker's Dracula	Academy Award for Best Makeup and Hairstyling	Francis Ford Coppola	1939
1993	Bram Stoker's Dracula	Academy Award for Best Sound Editing	Francis Ford Coppola	1939
1993	Chris Jenkins	Academy Award for Best Sound		
1993	Clint Eastwood	Academy Award for Best Director		
1993	Clint Eastwood	Academy Award for Best Picture		
1993	Darwyn Peachey	Scientific and Engineering Award		
1993	David E. Stone	Academy Award for Best Sound Editing		
1993	David Kasper	Academy Award for Best Documentary Feature Film		
1993	Death Becomes Her	Academy Award for Best Visual Effects	Robert Zemeckis	1952
1993	Deborah Kerr	Academy Honorary Award		
1993	Don Earl	Scientific and Engineering Award		
1993	Doug Chiang	Academy Award for Best Visual Effects		
1993	Doug Hemphill	Academy Award for Best Sound		
1993	Douglas Smythe	Academy Award for Best Visual Effects		
1993	Educating Peter	Academy Award for Best Documentary (Short Subject)	Gerardine Wurzburg	2000
1993	Eiko Ishioka	Academy Award for Best Costume Design		
1993	Elizabeth Taylor	Jean Hersholt Humanitarian Award		
1993	Emma Thompson	Academy Award for Best Actress		
1993	Gene Hackman	Academy Award for Best Supporting Actor		
1993	Gerardine Wurzburg	Academy Award for Best Documentary (Short Subject)		
1993	Greg Cannom	Academy Award for Best Makeup and Hairstyling		
1993	Howards End	Academy Award for Best Actress	James Ivory	1928
1993	Howards End	Academy Award for Best Production Design	James Ivory	1928
1993	Howards End	Academy Award for Best Writing, Adapted Screenplay	James Ivory	1928
1993	Ian Whittaker	Academy Award for Best Production Design		
1993	Indochine	Academy Award for Best International Feature Film	Régis Wargnier	1948
1993	Joan C. Gratz	Academy Award for Best Animated Short Film		
1993	Joel Cox	Academy Award for Best Film Editing		
1993	Ken Ralston	Academy Award for Best Visual Effects		
1993	Kenny Bates	Scientific and Engineering Award		
1993	Luciana Arrighi	Academy Award for Best Production Design		
1993	Marisa Tomei	Academy Award for Best Supporting Actress		
1993	Mark Smith	Academy Award for Best Sound		
1993	Matthew W. Mungle	Academy Award for Best Makeup and Hairstyling		
1993	Michèle Burke	Academy Award for Best Makeup and Hairstyling		
1993	Mona Lisa Descending a Staircase	Academy Award for Best Animated Short Film	Joan C. Gratz	1941
1993	My Cousin Vinny	Academy Award for Best Supporting Actress	Jonathan Lynn	1943
1993	Neil Jordan	Academy Award for Best Writing, Original Screenplay		
1993	Omnibus	Academy Award for Best Live Action Short Film	Sam Karmann	1953
1993	Panavision	Academy Award of Merit		
1993	Panavision Auto Panatar	Academy Award of Merit		
1993	Philippe Rousselot	Academy Award for Best Cinematography		
1993	Q22112461	Academy Award for Technical Achievement		
1993	Robert D. Auguste	Scientific and Engineering Award		
1993	Ruth Prawer Jhabvala	Academy Award for Best Writing, Adapted Screenplay		
1993	Sam Karmann	Academy Award for Best Live Action Short Film		
1993	Scent of a Woman	Academy Award for Best Actor	Martin Brest	1951
1993	Simon Kaye	Academy Award for Best Sound		
1993	The Crying Game	Academy Award for Best Writing, Original Screenplay	Neil Jordan	1950
1993	The Last of the Mohicans	Academy Award for Best Sound	Michael Mann	1943
1993	The Panama Deception	Academy Award for Best Documentary Feature Film	Barbara Trent	1946
1993	Thomas C. Goodwin	Academy Award for Best Documentary (Short Subject)		
1993	Thomas K. Porter	Scientific and Engineering Award		
1993	Tim Rice	Academy Award for Best Original Song		
1993	Tom Brigham	Academy Award for Technical Achievement		
1993	Tom McCarthy	Academy Award for Best Sound Editing		
1993	Tom Woodruff Jr.	Academy Award for Best Visual Effects		
1993	Unforgiven	Academy Award for Best Director	Clint Eastwood	1930
1993	Unforgiven	Academy Award for Best Film Editing	Clint Eastwood	1930
1993	Unforgiven	Academy Award for Best Picture	Clint Eastwood	1930
1993	Unforgiven	Academy Award for Best Supporting Actor	Clint Eastwood	1930
1994	Allan Starski	Academy Award for Best Production Design		
1994	Anna Paquin	Academy Award for Best Supporting Actress		
1994	Belle Époque	Academy Award for Best International Feature Film	Fernando Trueba	1955
1994	Branko Lustig	Academy Award for Best Picture		
1994	Bruce Springsteen	Academy Award for Best Original Song		
1994	Defending Our Lives	Academy Award for Best Documentary (Short Subject)	Margaret Lazarus	1949
1994	Defending Our Lives	Academy Award for Best Documentary (Short Subject)	Renner Wunderlich	1947
1994	Dennis Muren	Academy Award for Best Visual Effects		
1994	Ewa Braun	Academy Award for Best Production Design		
1994	Gabriella Pescucci	Academy Award for Best Costume Design		
1994	Gary Rydstrom	Academy Award for Best Sound		
1994	Gary Rydstrom	Academy Award for Best Sound Editing		
1994	Gary Summers	Academy Award for Best Sound		
1994	George H. Joblove	Scientific and Engineering Award		
1994	Gerald R. Molen	Academy Award for Best Picture		
1994	Greg Cannom	Academy Award for Best Makeup and Hairstyling		
1994	Holly Hunter	Academy Award for Best Actress		
1994	I Am a Promise: The Children of Stanton Elementary School	Academy Award for Best Documentary Feature Film	Susan Raymond	
1994	Jane Campion	Academy Award for Best Writing, Original Screenplay		
1994	Janusz Kamiński	Academy Award for Best Cinematography		
1994	John Williams	Academy Award for Best Original Score		
1994	Jurassic Park	Academy Award for Best Sound	Steven Spielberg	1946
1994	Jurassic Park	Academy Award for Best Sound Editing	Steven Spielberg	1946
1994	Jurassic Park	Academy Award for Best Visual Effects	Steven Spielberg	1946
1994	Les Dittert	Scientific and Engineering Award		
1994	Margaret Lazarus	Academy Award for Best Documentary (Short Subject)		
1994	Mark Leather	Scientific and Engineering Award		
1994	Michael Kahn	Academy Award for Best Film Editing		
1994	Michael Lantieri	Academy Award for Best Visual Effects		
1994	Michelangelo Antonioni	Academy Honorary Award		
1994	Mrs. Doubtfire	Academy Award for Best Makeup and Hairstyling	Chris Columbus	1958
1994	Nick Park	Academy Award for Best Animated Short Film		
1994	Panavision	Academy Scientific and Technical Award		
1994	Paul Newman	Jean Hersholt Humanitarian Award		
1994	Pepe Danquart	Academy Award for Best Live Action Short Film		
1994	Phil Tippett	Academy Award for Best Visual Effects		
1994	Philadelphia	Academy Award for Best Actor	Jonathan Demme	1944
1994	Philadelphia	Academy Award for Best Original Song	Jonathan Demme	1944
1994	Renner Wunderlich	Academy Award for Best Documentary (Short Subject)		
1994	Richard Hymns	Academy Award for Best Sound Editing		
1994	Ron Judkins	Academy Award for Best Sound		
1994	Schindler's List	Academy Award for Best Cinematography	Steven Spielberg	1946
1994	Schindler's List	Academy Award for Best Director	Steven Spielberg	1946
1994	Schindler's List	Academy Award for Best Film Editing	Steven Spielberg	1946
1994	Schindler's List	Academy Award for Best Original Score	Steven Spielberg	1946
1994	Schindler's List	Academy Award for Best Picture	Steven Spielberg	1946
1994	Schindler's List	Academy Award for Best Production Design	Steven Spielberg	1946
1994	Schindler's List	Academy Award for Best Writing, Adapted Screenplay	Steven Spielberg	1946
1994	Schwarzfahrer	Academy Award for Best Live Action Short Film	Pepe Danquart	1955
1994	Shawn Murphy	Academy Award for Best Sound		
1994	Stan Winston	Academy Award for Best Visual Effects		
1994	Steven Spielberg	Academy Award for Best Director		
1994	Steven Spielberg	Academy Award for Best Picture		
1994	Steven Zaillian	Academy Award for Best Writing, Adapted Screenplay		
1994	Streets of Philadelphia	Academy Award for Best Original Song		
1994	The Age of Innocence	Academy Award for Best Costume Design	Martin Scorsese	1942
1994	The Fugitive	Academy Award for Best Supporting Actor	Andrew Davis	1946
1994	The Piano	Academy Award for Best Actress	Jane Campion	1954
1994	The Piano	Academy Award for Best Supporting Actress	Jane Campion	1954
1994	The Piano	Academy Award for Best Writing, Original Screenplay	Jane Campion	1954
1994	The Wrong Trousers	Academy Award for Best Animated Short Film	Nick Park	1958
1994	Tom Hanks	Academy Award for Best Actor		
1994	Tommy Lee Jones	Academy Award for Best Supporting Actor		
1994	Ve Neill	Academy Award for Best Makeup and Hairstyling		
1994	Yolanda Toussieng	Academy Award for Best Makeup and Hairstyling		
1995	A Time for Justice	Academy Award for Best Documentary (Short Subject)	Charles Guggenheim	1924
1995	Alison Snowden	Academy Award for Best Animated Short Film		
1995	Allen Hall	Academy Award for Best Visual Effects		
1995	Arthur Schmidt	Academy Award for Best Film Editing		
1995	Blue Sky	Academy Award for Best Actress	Tony Richardson	1928
1995	Bob Beemer	Academy Award for Best Sound		
1995	Bob's Birthday	Academy Award for Best Animated Short Film	Alison Snowden	1958
1995	Bob's Birthday	Academy Award for Best Animated Short Film	David Fine	1960
1995	Bullets Over Broadway	Academy Award for Best Supporting Actress	Woody Allen	1935
1995	Burnt by the Sun	Academy Award for Best International Feature Film	Nikita Mikhalkov	1945
1995	Can You Feel the Love Tonight	Academy Award for Best Original Song		
1995	Carolyn Scott	Academy Award for Best Production Design		
1995	Charles Guggenheim	Academy Award for Best Documentary (Short Subject)		
1995	Clint Eastwood	Irving G. Thalberg Memorial Award		
1995	David DiFrancesco	Scientific and Engineering Award		
1995	David Fine	Academy Award for Best Animated Short Film		
1995	David MacMillan	Academy Award for Best Sound		
1995	Dianne Wiest	Academy Award for Best Supporting Actress		
1995	Dieter Sturm	Academy Award for Technical Achievement		
1995	Ed Wood	Academy Award for Best Makeup and Hairstyling	Tim Burton	1958
1995	Ed Wood	Academy Award for Best Supporting Actor	Tim Burton	1958
1995	Elton John	Academy Award for Best Original Song		
1995	Emil Safier	Academy Award for Technical Achievement		
1995	Eric Roth	Academy Award for Best Writing, Adapted Screenplay		
1995	Franz Kafka's It's a Wonderful Life	Academy Award for Best Live Action Short Film	Peter Capaldi	1958
1995	Freida Lee Mock	Academy Award for Best Documentary Feature Film		
1995	Frieder Hocheim	Academy Award for Technical Achievement		
1995	Gary Demos	Scientific and Engineering Award		
1995	Gary H. Swink	Academy Award for Technical Achievement		
1995	George Murphy	Academy Award for Best Visual Effects		
1995	Gregg Landaker	Academy Award for Best Sound		
1995	Hans Zimmer	Academy Award for Best Original Score		
1995	Jessica Lange	Academy Award for Best Actress		
1995	John A. Bonner	John A. Bonner Medal of Commendation		
1995	John Asman	Academy Award for Technical Achievement		
1995	Ken Adam	Academy Award for Best Production Design		
1995	Ken Ralston	Academy Award for Best Visual Effects		
1995	Kirk Douglas	Academy Honorary Award		
1995	Legends of the Fall	Academy Award for Best Cinematography	Edward Zwick	1952
1995	Lincoln Hu	Scientific and Engineering Award		
1995	Lizzy Gardiner	Academy Award for Best Costume Design		
1995	Martin Landau	Academy Award for Best Supporting Actor		
1995	Maya Lin: A Strong Clear Vision	Academy Award for Best Documentary Feature Film	Freida Lee Mock	2000
1995	Michael Crichton	Academy Award for Technical Achievement		
1995	Nick Pollack	Scientific and Engineering Award		
1995	Nikita Mikhalkov	Academy Awards		
1995	Panavision	Academy Scientific and Technical Award		
1995	Paul Bamborough	Scientific and Engineering Award		
1995	Paul Vlahos	Academy Award of Merit		
1995	Peggy Rajski	Academy Award for Best Live Action Short Film		
1995	Peter Capaldi	Academy Award for Best Live Action Short Film		
1995	Pulp Fiction	Academy Award for Best Writing, Original Screenplay	Quentin Tarantino	1963
1995	Q134773	Academy Award for Best Actor	Robert Zemeckis	1952
1995	Q134773	Academy Award for Best Director	Robert Zemeckis	1952
1995	Q134773	Academy Award for Best Film Editing	Robert Zemeckis	1952
1995	Q134773	Academy Award for Best Picture	Robert Zemeckis	1952
1995	Q134773	Academy Award for Best Visual Effects	Robert Zemeckis	1952
1995	Q134773	Academy Award for Best Writing, Adapted Screenplay	Robert Zemeckis	1952
1995	Q171048	Special Achievement Academy Award	John Lasseter	1957
1995	Q585668	Academy Award for Best Cinematography		
1995	Quentin Tarantino	Academy Award for Best Writing, Original Screenplay		
1995	Quentin Tarantino	Academy Awards		
1995	Quincy Jones	Jean Hersholt Humanitarian Award		
1995	Randy Stone	Academy Award for Best Live Action Short Film		
1995	Rick Baker	Academy Award for Best Makeup and Hairstyling		
1995	Robert Zemeckis	Academy Award for Best Director		
1995	Roger Avary	Academy Award for Best Writing, Original Screenplay		
1995	Ruth Kenley-Letts	Academy Award for Best Live Action Short Film		
1995	Speed	Academy Award for Best Sound	Jan de Bont	1943
1995	Speed	Academy Award for Best Sound Editing	Jan de Bont	1943
1995	Stephen Greenfield	Academy Award for Technical Achievement		
1995	Stephen Hunter Flick	Academy Award for Best Sound Editing		
1995	Stephen Rosenbaum	Academy Award for Best Visual Effects		
1995	Stephen W. Potter	Academy Award for Technical Achievement		
1995	Steve Maslow	Academy Award for Best Sound		
1995	Steve Starkey	Academy Award for Best Picture		
1995	Steve Tisch	Academy Award for Best Picture		
1995	Terry Sanders	Academy Award for Best Documentary Feature Film		
1995	The Adventures of Priscilla, Queen of the Desert	Academy Award for Best Costume Design	Stephan Elliott	1964
1995	The Lion King	Academy Award for Best Original Score	Roger Allers	1949
